entry	class	subclass	SoundOverrideSubclass	name	displayid	Quality	Flags	FlagsExtra	BuyCount	BuyPrice	SellPrice	InventoryType	AllowableClass	AllowableRace	ItemLevel	RequiredLevel	RequiredSkill	RequiredSkillRank	requiredspell	requiredhonorrank	RequiredCityRank	RequiredReputationFaction	RequiredReputationRank	maxcount	stackable	ContainerSlots	StatsCount	stat_type1	stat_value1	stat_type2	stat_value2	stat_type3	stat_value3	stat_type4	stat_value4	stat_type5	stat_value5	stat_type6	stat_value6	stat_type7	stat_value7	stat_type8	stat_value8	stat_type9	stat_value9	stat_type10	stat_value10	ScalingStatDistribution	ScalingStatValue	dmg_min1	dmg_max1	dmg_type1	dmg_min2	dmg_max2	dmg_type2	armor	holy_res	fire_res	nature_res	frost_res	shadow_res	arcane_res	delay	ammo_type	RangedModRange	spellid_1	spelltrigger_1	spellcharges_1	spellppmRate_1	spellcooldown_1	spellcategory_1	spellcategorycooldown_1	spellid_2	spelltrigger_2	spellcharges_2	spellppmRate_2	spellcooldown_2	spellcategory_2	spellcategorycooldown_2	spellid_3	spelltrigger_3	spellcharges_3	spellppmRate_3	spellcooldown_3	spellcategory_3	spellcategorycooldown_3	spellid_4	spelltrigger_4	spellcharges_4	spellppmRate_4	spellcooldown_4	spellcategory_4	spellcategorycooldown_4	spellid_5	spelltrigger_5	spellcharges_5	spellppmRate_5	spellcooldown_5	spellcategory_5	spellcategorycooldown_5	bonding	description	PageText	LanguageID	PageMaterial	startquest	lockid	Material	sheath	RandomProperty	RandomSuffix	block	itemset	MaxDurability	area	Map	BagFamily	TotemCategory	socketColor_1	socketContent_1	socketColor_2	socketContent_2	socketColor_3	socketContent_3	socketBonus	GemProperties	RequiredDisenchantSkill	ArmorDamageModifier	duration	ItemLimitCategory	HolidayId	ScriptName	DisenchantID	FoodType	minMoneyLoot	maxMoneyLoot	flagsCustom	WDBVerified
10400	4	2	-1	Blackened Defias Leggings	27947	2	0	0	1	2818	563	7	-1	-1	18	13	0	0	0	0	0	0	0	0	1	0	2	4	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	8	0	0	0	0	161	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		2	0	0	0	0	12340
10401	4	2	-1	Blackened Defias Gloves	27946	2	0	0	1	1279	255	10	-1	-1	18	13	0	0	0	0	0	0	0	0	1	0	2	4	3	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	8	0	0	0	0	161	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		2	0	0	0	0	12340
10402	4	2	-1	Blackened Defias Boots	21903	2	0	0	1	1926	385	8	-1	-1	18	13	0	0	0	0	0	0	0	0	1	0	2	7	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	8	0	0	0	0	161	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		2	0	0	0	0	12340
10403	4	2	-1	Blackened Defias Belt	14389	3	0	0	1	2706	541	6	-1	-1	22	17	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	9330	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	8	0	0	0	0	161	30	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0		41	0	0	0	0	12340
10410	4	2	-1	Leggings of the Fang	28385	3	0	0	1	6280	1256	7	-1	-1	23	18	0	0	0	0	0	0	0	0	1	0	3	4	5	7	4	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	8	0	0	0	0	162	65	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0		41	0	0	0	0	12340
10411	4	2	-1	Footpads of the Fang	27949	3	0	0	1	4728	945	8	-1	-1	23	18	0	0	0	0	0	0	0	0	1	0	2	7	6	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	8	0	0	0	0	162	45	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0		41	0	0	0	0	12340
10412	4	2	-1	Belt of the Fang	28384	3	0	0	1	2434	486	6	-1	-1	21	16	0	0	0	0	0	0	0	0	1	0	2	7	6	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	8	0	0	0	0	162	30	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0		41	0	0	0	0	12340
10413	4	2	-1	Gloves of the Fang	19125	3	0	0	1	1847	369	10	-1	-1	19	14	0	0	0	0	0	0	0	0	1	0	2	3	6	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	8	0	0	0	0	162	30	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0		41	0	0	0	0	12340
11726	4	3	-1	Savage Gladiator Chain	28724	4	0	0	1	167666	33533	5	-1	-1	57	52	0	0	0	0	0	0	0	0	1	0	2	7	13	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	9334	1	0	0	-1	0	-1	7598	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	5	0	0	0	0	1	140	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		64	0	0	0	0	12340
11728	4	3	-1	Savage Gladiator Leggings	21694	3	0	0	1	126682	25336	7	-1	-1	57	52	0	0	0	0	0	0	0	0	1	0	2	7	19	3	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	14027	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	5	0	0	0	0	1	90	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		48	0	0	0	0	12340
11729	4	3	-1	Savage Gladiator Helm	28826	3	0	0	1	95365	19073	1	-1	-1	57	52	0	0	0	0	0	0	0	0	1	0	2	7	12	3	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	5	0	0	0	0	1	70	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		48	0	0	0	0	12340
11730	4	3	-1	Savage Gladiator Grips	28723	3	0	0	1	63813	12762	10	-1	-1	57	52	0	0	0	0	0	0	0	0	1	0	3	3	9	5	12	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	0	0	0	0	0	0	0	9140	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	5	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		48	0	0	0	0	12340
11731	4	3	-1	Savage Gladiator Greaves	28666	3	0	0	1	96501	19300	8	-1	-1	57	52	0	0	0	0	0	0	0	0	1	0	2	3	15	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	9331	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	5	0	0	0	0	1	60	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		48	0	0	0	0	12340
12422	4	4	-1	Imperial Plate Chest	25749	2	0	0	1	141787	28357	5	-1	-1	60	55	0	0	0	0	0	0	0	0	1	0	2	4	18	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	6	0	0	0	0	321	115	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		10	0	0	0	0	12340
12424	4	4	-1	Imperial Plate Belt	24514	2	0	0	1	48691	9738	6	-1	-1	53	47	0	0	0	0	0	0	0	0	1	0	2	4	12	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	6	0	0	0	0	321	40	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0		9	0	0	0	0	12340
12425	4	4	-1	Imperial Plate Bracers	24511	2	0	0	1	53190	10638	9	-1	-1	54	49	0	0	0	0	0	0	0	0	1	0	2	4	9	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	6	0	0	0	0	321	40	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0		9	0	0	0	0	12340
12426	4	4	-1	Imperial Plate Boots	24513	2	0	0	1	105345	21069	8	-1	-1	59	54	0	0	0	0	0	0	0	0	1	0	2	4	13	7	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	6	0	0	0	0	321	55	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		10	0	0	0	0	12340
12427	4	4	-1	Imperial Plate Helm	24510	2	0	0	1	105727	21145	1	-1	-1	59	54	0	0	0	0	0	0	0	0	1	0	2	4	18	7	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	6	0	0	0	0	321	70	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		10	0	0	0	0	12340
12428	4	4	-1	Imperial Plate Shoulders	24509	2	0	0	1	75516	15103	3	-1	-1	53	47	0	0	0	0	0	0	0	0	1	0	2	4	12	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	6	0	0	0	0	321	70	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0		9	0	0	0	0	12340
12429	4	4	-1	Imperial Plate Leggings	24506	2	0	0	1	151448	30289	7	-1	-1	61	56	0	0	0	0	0	0	0	0	1	0	2	4	18	7	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	2		0	0	0	0	0	6	0	0	0	0	321	85	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		11	0	0	0	0	12340
12939	2	7	-1	Dal'Rend's Tribal Guardian	25647	3	0	0	1	271653	54330	22	-1	-1	63	58	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	97	0	0	0	0	100	0	0	0	0	0	0	1800	0	0	13385	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	1	3	0	0	0	41	90	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
12940	2	7	-1	Dal'Rend's Sacred Charge	25648	3	0	0	1	246673	49334	21	-1	-1	63	58	0	0	0	0	0	0	0	0	1	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	151	0	0	0	0	0	0	0	0	0	0	0	2800	0	0	7597	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	1	3	0	0	0	41	90	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
13183	2	4	-1	Venomspitter	24740	3	524288	0	1	258857	51771	13	-1	-1	60	55	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	98	0	0	0	0	0	0	0	0	0	0	0	1900	0	0	18203	2	0	2	0	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	2	3	0	0	0	65	90	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0		48	0	0	0	0	12340
13218	2	15	-1	Fang of the Crystal Spider	23791	3	524288	0	1	257784	51556	13	-1	-1	61	56	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	84	0	0	0	0	0	0	0	0	0	0	0	1600	0	0	17331	2	0	1.5	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	1	3	0	0	0	65	65	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
13388	4	1	-1	The Postmaster's Tunic	25049	3	0	0	1	101963	20392	5	-1	-1	61	56	0	0	0	0	0	0	0	0	1	0	3	6	10	7	13	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	9344	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	7	0	0	0	0	81	80	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
13389	4	1	-1	The Postmaster's Trousers	25050	3	0	0	1	105000	21000	7	-1	-1	61	56	0	0	0	0	0	0	0	0	1	0	3	7	12	6	20	5	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	7	0	0	0	0	81	65	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
13390	4	1	-1	The Postmaster's Band	24292	3	0	0	1	79030	15806	1	-1	-1	61	56	0	0	0	0	0	0	0	0	1	0	3	5	25	7	10	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	9343	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	7	0	0	0	0	81	50	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
13391	4	1	-1	The Postmaster's Treads	25051	3	0	0	1	79309	15861	8	-1	-1	61	56	0	0	0	0	0	0	0	0	1	0	3	5	15	6	6	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	9397	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	7	0	0	0	0	81	40	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
13392	4	0	-1	The Postmaster's Seal	24087	3	524288	0	1	48846	12211	11	-1	-1	61	56	0	0	0	0	0	0	0	0	1	0	3	6	17	7	6	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	5	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
14611	4	3	-1	Bloodmail Hauberk	25222	3	0	0	1	156970	31394	5	-1	-1	61	56	0	0	0	0	0	0	0	0	1	0	4	7	15	5	15	4	10	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	13669	1	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	1		0	0	0	0	0	5	0	0	0	0	123	120	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0		48	0	0	0	0	12340
